0,0
1,1
2,123
3,3
4,4
5,5
6,6
7,5
8,8
9,124
10,10
11,125
12,12
13,126
14,14
15,127
16,16
8,8
17,128
18,18
19,19
20,20
21,129
22,22
23,23
24,24
25,25
26,26
27,130
28,131
29,132
30,133
31,134
32,135
33,136
34,137
35,138
36,139
37,140
38,141
39,142
40,143
41,144
42,42
43,43
44,145
45,146
46,147
47,47
48,148
49,49
50,50
51,51
52,52
53,149
54,150
55,151
56,152
57,153
58,154
59,59
60,60
61,155
62,62
63,156
64,157
65,158
66,66
67,159
68,68
69,160
70,70
71,161
72,162
73,163
74,74
75,164
76,165
77,166
78,78
79,79
80,167
81,168
82,169
83,170
84,171
85,172
86,173
87,87
88,88
89,89
90,174
91,91
92,92
93,93
94,94
94,94
95,175
96,96
97,97
98,43
99,99
100,100
101,101
102,176
103,177
104,178
105,179
106,153
107,180
108,181
109,182
110,183
111,184
112,185
113,186
113,186
113,186
114,114
115,187
116,188
117,14
118,118
119,119
120,120
120,189
121,190
120,191
122,192
