0,0
1,1
2,132
3,133
4,4
5,5
6,6
7,134
8,6
9,9
10,10
11,135
12,136
13,137
14,138
15,139
16,140
17,17
18,18
19,19
20,141
21,142
22,22
23,143
24,144
25,145
26,26
27,27
28,28
29,146
30,147
31,148
32,149
33,150
34,151
35,152
36,36
37,153
38,154
39,155
40,156
41,41
42,157
43,158
44,159
45,160
46,161
47,162
48,163
49,164
50,165
51,51
52,166
53,167
54,54
55,168
56,169
57,170
58,171
59,172
60,173
61,174
62,175
63,63
64,176
65,177
66,178
67,179
68,180
69,69
70,181
71,71
72,182
73,73
74,183
75,184
76,185
77,77
78,186
79,79
80,187
81,188
82,82
83,83
84,189
85,190
86,191
87,192
88,193
89,194
90,195
91,91
92,92
93,93
94,94
95,95
96,96
97,196
98,197
99,99
100,100
101,101
102,102
103,47
104,104
105,105
106,106
107,198
108,199
109,200
110,110
111,201
112,202
113,203
114,204
115,205
116,206
117,207
118,118
119,208
119,118
120,209
121,210
122,211
123,212
124,213
125,125
126,126
127,127
128,128
129,214
130,215
131,131
