0,86,86
1,30,160
2,87,87
3,87,87
4,88,161
5,5,162
6,89,163
7,90,90
8,91,164
9,92,92
10,87,87
11,93,93
12,94,94
13,95,95
14,96,96
15,97,97
16,98,165
17,99,166
18,100,167
19,101,168
20,102,169
21,103,103
22,104,170
23,105,171
24,106,172
25,95,173
26,26,26
27,107,174
28,108,175
29,109,176
30,30,177
31,110,178
32,111,179
33,112,180
34,113,34
35,114,181
36,115,36
37,116,182
38,117,183
39,118,184
40,119,185
41,120,186
42,121,187
43,122,188
44,123,189
45,124,190
46,125,191
47,126,192
48,127,193
49,49,49
50,128,194
51,129,51
52,52,195
53,130,196
27,131,27
54,132,197
55,55,55
56,133,198
57,134,57
58,135,199
59,30,200
60,136,201
61,137,202
62,138,203
63,139,204
64,140,205
65,141,206
66,142,207
67,143,208
30,144,209
68,145,210
69,146,211
70,147,212
71,148,148
72,149,213
73,150,214
74,151,215
75,152,216
76,153,217
75,154,75
77,155,218
78,156,219
79,79,79
80,157,220
81,158,221
82,82,222
83,83,223
84,158,224
85,159,225
