0,115,203
1,116,204
2,117,117
3,3,3
4,4,4
5,118,205
6,6,206
7,119,119
8,120,207
9,121,121
10,122,122
11,11,11
12,123,123
13,124,124
14,125,125
15,126,126
16,127,127
17,128,128
18,129,129
19,130,130
20,131,131
21,132,132
22,133,133
23,134,208
24,135,209
25,136,210
26,137,211
27,138,212
28,138,213
29,139,214
30,140,140
31,141,215
32,142,216
33,143,217
34,144,218
35,145,219
36,36,36
37,146,220
38,147,147
39,148,221
40,40,40
41,41,222
42,149,223
43,150,43
44,151,224
45,152,45
46,153,153
47,154,47
48,48,48
49,49,225
50,155,226
51,156,156
52,157,227
53,158,228
54,54,229
55,159,230
56,160,231
57,161,232
58,162,233
59,163,234
60,164,235
61,165,165
62,166,236
63,167,237
64,168,238
65,169,65
66,170,239
67,171,67
68,172,240
69,173,241
70,174,242
71,175,243
72,176,244
73,177,245
74,178,246
75,179,247
76,180,248
77,181,249
78,182,78
79,79,250
80,80,80
81,81,81
82,82,82
83,183,83
84,84,84
85,184,251
86,185,252
87,185,253
88,186,186
89,187,89
90,90,90
91,91,91
92,92,92
93,188,254
94,189,255
95,190,190
96,96,96
97,191,191
98,192,256
99,193,257
100,194,258
101,195,101
102,196,259
103,103,103
103,103,260
103,103,261
104,197,262
105,198,263
106,199,264
107,107,107
108,200,265
109,109,109
110,201,266
111,202,94
112,112,112
113,113,267
112,112,112
114,114,268
