0,87,87
1,30,164
2,88,88
3,88,88
4,89,165
5,5,166
6,90,167
7,91,91
8,92,168
9,93,93
10,88,88
11,94,94
12,95,95
13,96,96
14,97,97
15,98,98
16,99,169
17,100,170
18,101,171
19,102,172
20,103,173
21,104,104
22,105,174
23,106,175
24,107,176
25,108,177
26,26,26
27,109,178
28,110,179
29,111,180
30,30,181
31,112,182
32,113,183
33,114,184
34,115,185
35,116,186
36,117,187
37,118,188
38,119,189
39,120,190
40,121,191
41,122,192
42,123,193
43,124,194
44,125,195
45,126,196
46,127,197
47,128,198
48,129,199
49,49,49
50,130,200
51,131,51
52,52,201
53,132,202
54,133,27
55,134,203
56,56,56
57,135,204
58,136,58
59,137,205
60,138,206
61,139,207
62,140,208
63,141,209
64,142,210
65,143,211
66,144,212
67,145,213
68,146,214
30,147,215
69,148,216
70,149,217
71,150,218
72,151,151
73,152,219
74,153,220
75,154,221
76,155,222
77,156,223
76,157,76
78,158,224
79,159,225
80,80,80
81,160,226
82,161,227
83,83,228
84,84,229
85,162,230
86,163,231
