0,110
1,1
2,111
3,3
4,4
5,3
6,6
7,112
8,8
9,9
10,113
11,114
12,12
13,13
14,14
15,15
16,115
17,116
18,117
19,118
20,119
21,120
22,121
23,23
24,122
25,123
26,26
27,124
28,125
29,126
30,127
31,31
32,128
33,129
34,130
35,131
36,132
37,133
38,134
39,135
40,40
41,136
42,42
43,137
44,138
45,139
46,140
47,47
48,141
49,49
50,142
51,51
52,143
53,144
54,145
55,146
56,147
57,148
58,149
59,150
60,151
61,152
62,153
63,154
64,155
65,156
66,157
67,158
68,159
69,160
70,161
71,162
72,163
73,73
74,74
75,75
76,76
77,77
78,78
79,79
80,80
80,80
81,81
82,82
83,164
84,84
85,85
86,165
87,166
88,167
89,168
90,169
91,170
92,171
93,172
94,173
95,174
96,175
97,176
98,176
99,176
100,177
101,178
102,179
103,103
104,180
105,105
106,181
107,182
108,108
109,183
