0,110
1,1
2,111
3,3
4,4
5,3
6,6
7,112
8,8
9,9
10,113
11,114
12,12
13,13
14,14
15,15
16,115
17,116
18,117
19,19
20,118
21,119
22,22
23,23
24,120
25,121
26,26
27,122
28,123
29,124
30,125
31,31
32,126
33,127
34,128
35,129
36,130
37,131
38,132
39,133
40,40
41,134
42,42
43,135
44,136
45,137
46,138
47,47
48,139
49,49
50,140
51,51
52,141
53,142
54,143
55,144
56,145
57,146
58,147
59,148
60,149
61,150
62,151
63,152
64,153
65,154
66,155
67,156
68,157
69,158
70,159
71,160
72,161
73,73
74,74
75,75
76,76
77,77
78,78
79,79
80,80
80,80
81,81
82,82
83,162
84,84
85,85
86,163
87,164
88,165
89,166
90,167
91,168
92,169
93,170
94,171
95,172
96,173
97,98
98,98
99,98
100,174
101,175
102,176
103,103
104,177
105,105
106,178
107,179
108,108
109,180
